Date,Adj Close,Close,High,Low,Open,Volume
2014-08-07,359.5,359.5,360.25,357.0,360.25,75358.0
2014-08-08,351.75,351.75,358.5,351.5,357.25,133125.0
2014-08-11,356.75,356.75,357.0,353.0,353.5,123611.0
2014-08-12,358.5,358.5,359.25,350.25,355.0,165303.0
2014-08-13,358.0,358.0,360.0,354.75,360.0,194070.0
2014-08-14,362.0,362.0,362.5,357.75,358.0,110215.0
2014-08-15,365.75,365.75,367.25,364.0,366.5,68506.0
2014-08-18,360.75,360.75,368.5,360.0,368.25,74813.0
2014-08-19,362.5,362.5,362.75,358.0,358.25,78822.0
2014-08-20,359.5,359.5,360.0,357.5,359.5,80142.0
2014-08-21,362.25,362.25,365.5,360.25,360.5,95879.0
2014-08-22,365.5,365.5,366.5,363.75,363.75,98455.0
2014-08-25,360.0,360.0,362.5,359.0,362.5,107057.0
2014-08-26,356.0,356.0,357.75,353.75,357.75,78751.0
2014-08-27,356.0,356.0,356.25,353.0,354.0,86304.0
2014-08-28,361.75,361.75,362.0,356.5,356.5,72872.0
2014-08-29,359.0,359.0,360.75,356.0,360.75,71290.0
2014-09-02,355.75,355.75,359.75,355.0,359.75,30831.0
2014-09-03,341.25,341.25,348.5,340.75,348.5,11396.0
2014-09-04,335.75,335.75,340.75,333.75,340.75,11532.0
2014-09-05,346.5,346.5,346.0,346.0,346.0,5047.0
2014-09-08,339.25,339.25,340.5,338.0,338.0,3218.0
2014-09-09,336.25,336.25,336.5,336.5,336.5,893.0
2014-09-10,338.75,338.75,336.5,336.5,336.5,1596.0
2014-09-11,331.75,331.75,336.0,335.0,336.0,1298.0
2014-09-12,339.0,339.0,339.0,339.0,339.0,1728.0
2014-09-15,343.0,343.0,343.25,336.25,336.25,106215.0
2014-09-16,343.75,343.75,346.5,339.25,346.5,102671.0
2014-09-17,341.75,341.75,342.0,340.5,341.75,144551.0
2014-09-18,338.25,338.25,339.75,338.0,339.25,83632.0
2014-09-19,331.5,331.5,336.75,331.5,336.75,100943.0
2014-09-22,330.25,330.25,330.75,327.0,328.75,107635.0
2014-09-23,325.5,325.5,328.0,324.75,328.0,131674.0
2014-09-24,329.5,329.5,329.75,326.0,327.25,125167.0
2014-09-25,326.0,326.0,330.25,325.5,329.75,132651.0
2014-09-26,323.0,323.0,325.25,322.75,325.25,107743.0
2014-09-29,325.75,325.75,326.0,323.5,324.0,86605.0
2014-09-30,320.75,320.75,325.0,319.75,324.25,104805.0
2014-10-01,321.25,321.25,322.25,319.0,319.5,173979.0
2014-10-02,322.75,322.75,323.25,320.0,320.5,121907.0
2014-10-03,323.25,323.25,324.5,322.25,322.25,123125.0
2014-10-06,332.5,332.5,332.75,327.5,328.0,92118.0
2014-10-07,340.5,340.5,341.0,332.25,332.75,134901.0
2014-10-08,343.25,343.25,343.5,338.75,339.25,218114.0
2014-10-09,344.75,344.75,346.75,341.75,342.0,127485.0
2014-10-10,334.0,334.0,348.0,332.75,339.75,174549.0
2014-10-13,346.0,346.0,347.0,333.5,333.5,234751.0
2014-10-14,357.0,357.0,357.5,343.5,347.75,142097.0
2014-10-15,347.5,347.5,358.0,347.0,354.25,194804.0
2014-10-16,352.25,352.25,353.0,346.5,346.5,183378.0
2014-10-17,348.0,348.0,350.75,347.5,350.25,138242.0
2014-10-20,348.25,348.25,348.5,342.5,342.5,127179.0
2014-10-21,356.0,356.0,358.5,348.0,348.25,140828.0
2014-10-22,353.0,353.0,360.0,352.25,359.0,159476.0
2014-10-23,359.75,359.75,360.0,354.0,354.0,174942.0
2014-10-24,353.0,353.0,364.0,352.25,363.5,144314.0
2014-10-27,363.0,363.0,363.5,350.0,351.5,162470.0
2014-10-28,364.5,364.5,371.0,361.5,368.75,172966.0
2014-10-29,375.25,375.25,376.0,365.0,367.75,222302.0
2014-10-30,374.0,374.0,377.75,371.75,375.5,217048.0
2014-10-31,376.75,376.75,377.25,368.5,372.0,203146.0
2014-11-03,373.5,373.5,374.0,371.0,372.75,190821.0
2014-11-04,364.5,364.5,368.0,364.25,367.0,157753.0
2014-11-05,370.25,370.25,370.75,361.0,361.75,178121.0
2014-11-06,371.25,371.25,374.0,368.0,368.0,213921.0
2014-11-07,367.5,367.5,371.25,364.5,367.75,173692.0
2014-11-10,369.25,369.25,377.0,366.5,366.5,207974.0
